5
165
71
39
21
13
236	0	297	9884
358	297	395	15287
432	395	780	13703
1128	780	1289	13171
1450	1289	1534	12683
1618	1534	2046	11422
2475	2046	2613	10094
2752	2613	2870	13543
2989	2870	4271	13126
5554	4271	5921	17122
6288	5921	6362	18432
6436	6362	6438	14112
6440	6438	7959	16928
9478	7959	9754	14575
10030	9754	10595	14934
11161	10595	11233	13452
11306	11233	12416	13736
13527	12416	13976	12581
14425	13976	14458	15800
14492	14458	15552	15426
16612	15552	16841	12279
17071	16841	17133	13318
17196	17133	18960	14274
20725	18960	21149	9477
21574	21149	21663	9834
21752	21663	23053	13505
24355	23053	24458	12503
24561	24458	24875	10960
25189	24875	25550	13704
25912	25550	26197	11667
26483	26197	26505	11597
26528	26505	26529	11587
26530	26529	27287	11588
28044	27287	28110	12279
28176	28110	29437	11279
30698	29437	30729	12541
30761	30729	31286	13334
31811	31286	31924	13484
32037	31924	32039	9632
358	0	743	15287
1128	743	1289	13171
1450	1289	1962	12683
2475	1962	2794	10094
3114	2794	4701	13767
6288	4701	8159	18432
10030	8159	10595	14934
11161	10595	11225	13452
11290	11225	12408	13239
13527	12408	13976	12581
14425	13976	14458	15800
14492	14458	19423	15426
24355	19423	24772	12503
25189	24772	25550	13704
25912	25550	26197	11667
26483	26197	26505	11597
26528	26505	27352	11587
28176	27352	29437	11279
30698	29437	31249	12541
31800	31249	31918	14052
32037	31918	32039	9632
358	0	904	15287
1450	904	2022	12683
2594	2022	4441	13201
6288	4441	8303	18432
10319	8303	11923	14621
13527	11923	18941	12581
24355	18941	24772	12503
25189	24772	25857	13704
26526	25857	27285	14007
28044	27285	28110	12279
28176	28110	29993	11279
31811	29993	31924	13484
32037	31924	32039	9632
